mean_age (kr BP),deltaD,d18O,,high end T,low end T,,,precipitation_temperature,d18O_permil
111.287,-415.69,-52.903571,,-52.756848,-53.050295,,,,
111.6675,-411.36,-52.388095,,-52.241371,-52.534819,,,,
112.0405,-410.71,-52.310714,,-52.16399,-52.457438,,,,
112.4055,-408.17,-52.008333,,-51.861609,-52.155057,,,,
112.764,-407.57,-51.936905,,-51.790181,-52.083629,,,,
113.1215,-407.38,-51.914286,,-51.767562,-52.06101,,,,
113.4675,-407.14,-51.885714,,-51.73899,-52.032438,,,,
113.796,-402.56,-51.340476,,-51.193752,-51.4872,,,,
114.1185,-400.69,-51.117857,,-50.971133,-51.264581,,,,
114.436,-399.75,-51.005952,,-50.859228,-51.152676,,,,
114.75,-396.96,-50.67381,,-50.527086,-50.820533,,,,
115.0685,-398.33,-50.836905,,-50.690181,-50.983629,,,,
115.389,-392.03,-50.086905,,-49.940181,-50.233629,,,,
115.697,-385.01,-49.25119,,-49.104467,-49.397914,,,,
115.9985,-390.98,-49.961905,,-49.815181,-50.108629,,,,
116.31,-393.74,-50.290476,,-50.143752,-50.4372,,,,
116.626,-393.92,-50.311905,,-50.165181,-50.458629,,,,
116.9365,-390.35,-49.886905,,-49.740181,-50.033629,,,,
117.2445,-392.11,-50.096429,,-49.949705,-50.243152,,,,
117.551,-388.04,-49.611905,,-49.465181,-49.758629,,,,
117.8565,-390.83,-49.944048,,-49.797324,-50.090772,,,,
118.162,-387.06,-49.495238,,-49.348514,-49.641962,,,,
118.463,-387.93,-49.59881,,-49.452086,-49.745533,,,,
118.762,-386.71,-49.453571,,-49.306848,-49.600295,,,,
